FRXAPA01,"M.S. Zisman, LBNL, Berkeley, California","Neutrino Factories and Beta Beams",
TUPCH044,"R. Bartolini, M.G. Abbott, I.P.S. Martin, G. Rehm, J.H. Rowland, Diamond, Oxfordshire","Turn-by-turn Data Acquisition and Post-processing for the Diamond Booster and Storage Ring",
TUPCH045,"A.F.D. Morgan, M.G. Abbott, G. Rehm, Diamond, Oxfordshire","First Use of Current and Charge Measurement Systems in the Commissioning of Diamond",
TUPCH046,"G. Rehm, M.G. Abbott, Diamond, Oxfordshire","Performance of Global Diagnostics Systems during the Commissioning of Diamond",
TUPCH047,"C.A. Thomas, G. Rehm, Diamond, Oxfordshire","Diamond Optical Diagnostics: First Streak Camera Measurements",
TUPCH048,"G.A. Blair, I.V. Agapov, Royal Holloway, University of London, Surrey; D.A.-K. Angal-Kalinin, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; J. Carter, L. Deacon, Royal Holloway, University of London, Surrey; L.J. Jenner, Cockcroft Institute, Warrington, Cheshire; M.C. Ross, A. Seryi, M. Woodley, SLAC, Menlo Park, California","A Study of Emittance Measurement at the ILC",
TUPCH049,"A. Bosco, G.A. Blair, S.T. Boogert, G.E. Boorman, L. Deacon, C. Driouichi, M.T. Price, Royal Holloway, University of London, Surrey","Proposal for a Fast Scanning System Based on Electro-optics for Use at the ILC Laser-wire",
TUPCH050,"G.A. Blair, I.V. Agapov, Royal Holloway, University of London, Surrey; K. Balewski, DESY, Hamburg; S.T. Boogert, G.E. Boorman, A. Bosco, J. Carter, Royal Holloway, University of London, Surrey; N. Delerue, OXFORDphysics, Oxford, Oxon; C. Driouichi, Royal Holloway, University of London, Surrey; D.F. Howell, OXFORDphysics, Oxford, Oxon; T. Kamps, BESSY GmbH, Berlin; H.-C. Lewin, F. Poirier, DESY, Hamburg; M.T. Price, Royal Holloway, University of London, Surrey; S. Schreiber, K. Wittenburg, DESY, Hamburg","Beam Profile Measurements with the 2-D Laser-wire",
TUPCH052,"A. Stella, M. Serio, INFN/LNF, Frascati (Roma)","Turn by Turn Measurements at DAFNE Based on the Libera Beam Position Processor",
TUPCH053,"E. Chiadroni, INFN-Roma II, Roma","Bunch Length Characterization Downstream from the Second Bunch Compressor at FLASH DESY, Hamburg",
TUPCH054,"T. Fujita, S. Sasaki, M. Shoji, T. Takashima, JASRI/SPring-8, Hyogo-ken","Upgrade of Signal Processing of the BPM System at the SPring-8 Storage Ring",
TUPCH055,"T. Ohshima, A. Yamashita, JASRI/SPring-8, Hyogo-ken; M. Yoshioka, SES, Hyogo-pref.","Beam Phase Measurement of Stored Bunch",
TUPCH056,"J.W. Flanagan, H. Fukuma, S. Hiramatsu, H. Ikeda, T. Mitsuhashi, KEK, Ibaraki","A Simpler Method for SR Interferometer Calibration",
TUPCH057,"H. Ikeda, K. Akai, J.W. Flanagan, T. Furuya, S. Hiramatsu, KEK, Ibaraki; S. Stanic, Tsukuba University, Ibaraki; M. Suetake, Y. Suetsugu, M. Tobiyama, T. Tsuboyama, KEK, Ibaraki","A Diagnostic System for Beam Abort at KEKB",
TUPCH058,"T. Naito, T. Mitsuhashi, KEK, Ibaraki","Very Small Beam Size Measurement by Reflective SR Interferometer at KEK-ATF",
TUPCH059,"S. Ninomiya, T. Adachi, S. Fukumoto, KEK, Ibaraki; S.H. Hatori, T. Kurita, WERC, Tsuruga , Fukui","Dual-mode Beam Current Monitor",
TUPCH060,"M.J. Shirakata, H. Oki, T. Oogoe, Y. Takeuchi, M. Yoshioka, KEK, Ibaraki","Beam Collimator System in the J-PARC 3-50BT Line",
TUPCH061,"S. Sato, JAEA/LINAC, Ibaraki-ken; H. Akikawa, JAEA, Ibaraki-ken; H. Ao, JAEA/LINAC, Ibaraki-ken; Z. Igarashi, S. Lee, KEK, Ibaraki; T. Tomisawa, A. Ueno, JAEA/LINAC, Ibaraki-ken","Installation of Beam Monitor Sensors in the LINAC Section of J-PARC",
TUPCH062,"T.V. Shaftan, I. Pinayev, BNL, Upton, Long Island, New York","Synchrotron Radiation Diagnostics for the NSLS Booster",
TUPCH063,"A. Sato, M. Aoki, Y. Arimoto, I. Itahashi, Y. Kuno, T. Oki, M. Yoshida, Osaka University, Osaka","Novel Method for Beam Dynamics using an Alpha Particle Source",
TUPCH064,"N. Hayashi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Lee, T. Toyama, KEK, Ibaraki","Beam-based Alignment Strategy for the Group Controlled Magnets System",
TUPCH065,"K. Satou, N. Hayashi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Lee, T. Toyama, KEK, Ibaraki","A Prototype of Residual Gas Ionization Profile Monitor for J-PARC RCS",
TUPCH067,"G.J. Yang, S. Chen, X. Jiang, Z. Zhang, CAEP/IFP, Mainyang, Sichuan","Time-resolved Beam Emittance Measurement of Dragon-I Linear Induction Accelerator",
TUPCH070,"K.-H. Park, PAL, Pohang, Kyungbuk; D.H. An, J.-S. Chai, KIRAMS, Seoul; S.-M. Hong, Y.G. Jung, PAL, Pohang, Kyungbuk; B.-K. Kang, POSTECH, Pohang, Kyungbuk; D.E. Kim, PAL, Pohang, Kyungbuk; Y.S. Kim, KIRAMS, Seoul; H.-G. Lee, W.W. Lee, PAL, Pohang, Kyungbuk","Development of Beam Profile Monitor for Cyclotron",
TUPCH071,"S.V. Barabin, ITEP, Moscow; P. Forck, T. Giacomini, GSI, Darmstadt; D.A. Liakin, A.Y. Orlov, ITEP, Moscow","Testing the Silicon Photomultiplier for Ionization Profile Monitor",
TUPCH072,"A.M. Tron, LPI, Moscow; T.V. Gorlov, I.G. Merinov, MEPhI, Moscow","New Generation Streak Camera Design and Investigation",
TUPCH073,"O.I. Meshkov, V. F. Gurko, A.D. Khilchenko, V. Kiselev, N.Yu. Muchnoi, A.N. Selivanov, V.V. Smaluk, A. N. Zhuravlev, BINP SB RAS, Novosibirsk","Study of Beam Energy Spread at the VEPP-4M",
TUPCH074,"N.Yu. Muchnoi, S.A. Nikitin, V.N. Zhilich, BINP SB RAS, Novosibirsk","Fast and Precise Beam Energy Monitor Based on the Compton Backscattering at the VEPP-4M Collider",
TUPCH075,"S.A. Nikitin, I.B. Nikolaev, BINP SB RAS, Novosibirsk","Dependence of the Electron Beam Polarization Effect in the Intra-beam Scattering Rate on the Vertical Beam Emittance",
TUPCH077,"J.L. Conradie, A.H. Botha, P.J. Celliers, J.L.G. Delsink, iThemba LABS, Somerset West; J. Dietrich, FZJ, Jülich; D.T. Fourie, P.T. Mansfield, iThemba LABS, Somerset West; I. Mohos, FZJ, Jülich; P.F. Rohwer, M.J. Van Niekerk, iThemba LABS, Somerset West","Beam Phase Measurement in a 200 MeV Cyclotron",
TUPCH078,"F. Pérez, ALBA, Bellaterra; T.F. Günzel, ESRF, Grenoble; A. Olmos, ALBA, Bellaterra","BPM Design for the ALBA Synchrotron",
TUPCH079,"M. Sjöström, H. Tarawneh, E.J. Wallén, MAX-lab, Lund","Characterisation of the MAX-II Electron Beam: Beam Size Measurements",
TUPCH080,"A. Paal, MSL, Stockholm; J. Dietrich, I. Mohos, FZJ, Jülich; A. Simonsson, MSL, Stockholm","Bunched Beam Current Measurements with 100 pA rms Resolution at CRYRING",
TUPCH081,"V.G. Ziemann, UU/ISV, Uppsala; N.X. Javahiraly, FYSIKUM, AlbaNova, Stockholm University, Stockholm; M. Larsson, Stockholm University, Department of Physics, Stockholm; E. Saldin, H. Schlarb, E. Schneidmiller, A. Winter, M.V. Yurkov, DESY, Hamburg; P. van der Meulen, FYSIKUM, AlbaNova, Stockholm University, Stockholm","Technical Aspects of the Integration of the Optical Replica Synthesizer for the Diagnostics of Ultra-short Bunches in FLASH at DESY",
TUPCH082,"V.G. Ziemann, UU/ISV, Uppsala; F. Caspers, CERN, Geneva; T. J. C. Ekelof, A. Ferrari, M. A. Johnson, E. A. Ojefors, A. B. Rydberg, UU/ISV, Uppsala","The EuroTeV Confocal Resonator Monitor Task",
TUPCH083,"T. Lefevre, C.B. Bal, H.-H. Braun, E. Bravin, S. Burger, R. Corsini, S. Doebert, C.D. Dutriat, F. Tecker, P. Urschütz, C.P. Welsch, CERN, Geneva","Time-resolved Spectrometry on the CLIC Test Facility 3",
TUPCH084,"L. Sarchiapone, A. Ferrari, E. Gschwendtner, M. Lorenzo Sentis, CERN, Geneva","Expected Signal for the TBID and the Ionization Chambers Downstream of the CNGS Target Station",
TUPCH086,"J.P.H. Sladen, A. Andersson, CERN, Geneva","Precision Beam Timing Measurement System for CLIC Synchronization",
TUPCH087,"J. Tan, G. Tranquille, CERN, Geneva","Beam Diagnostics with Schottky Noise in LEIR",
TUPCH088,"C.P. Welsch, E. Bravin, B. Burel, CERN, Geneva; T. Chapman, Thermo, Liverpool, New York; T. Lefevre, CERN, Geneva; M.J. Pilon, Thermo, Liverpool, New York","High Dynamic Range Beam Profile Measurements",
TUPCH089,"C.P. Welsch, E. Bravin, T. Lefevre, CERN, Geneva","Investigations of OTR Screen Surfaces and Shapes",
TUPCH090,"Å. Andersson, PSI, Villigen; O.V. Chubar, SOLEIL, Gif-sur-Yvette; M. Rohrer, V. Schlott, A. Streun, PSI, Villigen","Electron Beam Profile Measurements with Visible and X-ray Synchrotron Radiation at the Swiss Light Source",
TUPCH092,"B. Keil, P.-A. Duperrex, M. U. Müller, PSI, Villigen","Commissioning of a New Digital BPM System for the PSI Proton Accelerators",
TUPCH094,"V. Schlott, D. Abramsohn, P. Beaud, G. Ingold, P. Lerch, PSI, Villigen","THz Diagnostic for the Femtosecond Bunch Slicing Project at the Swiss Light Source",
TUPCH095,"C.H. Kuo, J. Chen, K.-T. Hsu, S.Y. Hsu, K.H. Hu, D. Lee, C.-J. Wang, NSRRC, Hsinchu","Status of Synchrotron Radiation Monitor at TLS",
TUPCH096,"V.L. Uvarov, S.P. Karasyov, V.I. Nikiforov, R.I. Pomatsalyuk, V.A. Shevchenko, I.N. Shlyakhov, A.Eh. Tenishev, Yu.V. Zhebrovsky, NSC/KIPT, Kharkov","High-intensity Bremsstrahlung Monitoring System for Photonuclear Technologies",
TUPCH097,"R. Holtzapple, Alfred University, Alfred, New York; B. Cerio, Colgate University, Hamilton, New York; J.S. Kern, Alfred University, Alfred, New York; M.A. Palmer, Cornell University, Laboratory for Elementary-Particle Physics, Ithaca, New York; P.J.S. Stonaha, Alfred University, Alfred, New York","Instrumentation and Operation of a Remote Operation Beam Diagnostics Lab at the Cornell Electron-positron Storage Ring",
TUPCH098,"D.R. Broemmelsiek, S. Nagaitsev, Fermilab, Batavia, Illinois","Antiproton Momentum Distributions as a Measure of Electron Cooling Force at the Fermilab Recycler",
TUPCH099,"N. Guillotin, J. Jacob, V. Serriere, ESRF, Grenoble","Development of HOM Damped Copper Cavity for the ESRF",
TUPCH100,"S. De Santis, J.M. Byrd, A. Ratti, LBNL, Berkeley, California; Y. Yin, Y.Y. Labs, Inc., Fremont, California; M.S. Zolotorev, LBNL, Berkeley, California","Fiberoptics-based Instrumentation for Storage Ring Longitudinal Diagnostics",
TUPCH101,"G. Huang, J.M. Byrd, J. Feng, H.A. Padmore, J. Qiang, W. Wan, LBNL, Berkeley, California","Modeling of Ultrafast Streak Cameras",
TUPCH103,"Y. Yin, X. Che, Y.Y. Labs, Inc., Fremont, California","New Developments on Single-shot Fiber Scope",
TUPCH105,"S. Walston, LLNL, Livermore, California; S.T. Boogert, Royal Holloway, University of London, Surrey; C.C. Chung, P. Fitsos, LLNL, Livermore, California; J.C. Frisch, SLAC, Menlo Park, California; J.G. Gronberg, LLNL, Livermore, California; H. Hayano, Y. Honda, KEK, Ibaraki; Y.K. Kolomensky, UCB, Berkeley, California; A. Lyapin, S. Malton, UCL, London; J. May, D.J. McCormick, SLAC, Menlo Park, California; R. Meller, Cornell University, Department of Physics, Ithaca, New York; D.J. Miller, UCL, London; T. Orimoto, UCB, Berkeley, California; M.C. Ross, SLAC, Menlo Park, California; M. Slater, University of Cambridge, Cambridge; S. Smith, T.J. Smith, SLAC, Menlo Park, California; N. Terunuma, KEK, Ibaraki; M.T. Thomson, University of Cambridge, Cambridge; J. Urakawa, KEK, Ibaraki; V.V. Vogel, DESY, Hamburg; D.R. Ward, University of Cambridge, Cambridge; G.R. White, OXFORDphysics, Oxford, Oxon","Performance of a Nanometer Resolution BPM System",
TUPCH106,"W.J. Corbett, C. Limborg-Deprey, W.Y. Mok, A. Ringwall, SLAC, Menlo Park, California","Commissioning the SPEAR3 Diagnostic Beamlines",
TUPCH108,"M. Weaver, SLAC, Menlo Park, California; W. Kozanecki, CEA, Gif-sur-Yvette; B.F. Viaud, Montreal University, Montreal, Quebec","Characterization of the PEP-II Colliding-beam Phase Space by the Boost Method",
TUPCH109,"A. Mochihashi, K. Hayashi, UVSOR, Okazaki; Y. Hori, KEK, Ibaraki; M. Hosaka, M. Katoh, UVSOR, Okazaki; Y. Takashima, Nagoya University, Nagoya; J. Yamazaki, UVSOR, Okazaki","Ion-related Phenomenon in UVSOR/UVSOR-II Electron Storage Ring",
TUPCH110,"A. Mochihashi, K. Hayashi, M. Hosaka, M. Katoh, UVSOR, Okazaki; H. Suzuki, Toshiba, Yokohama; Y. Takashima, Nagoya University, Nagoya; J. Yamazaki, UVSOR, Okazaki","Upgrade of Main RF Cavity in UVSOR-II Electron Storage Ring",
TUPCH111,"P. Balleyguier, J.-L. Lemaire, CEA, Bruyeres-le-Chatel","RF System for the Superconducting Linac Downstream from DEINOS Injector",
TUPCH112,"A.S. Setty, THALES, Colombes; R. Chaput, SOLEIL, Gif-sur-Yvette; D. Jousse, J.-L. Pastre, THALES, Colombes; J.-P. Pollina, B. Pottin, SOLEIL, Gif-sur-Yvette; F. Rodriguez, THALES, Colombes; A. Sacharidis, EuroMev, Buc; M.-A. Tordeux, SOLEIL, Gif-sur-Yvette","Commissioning of the 100 MeV Preinjector HELIOS for the SOLEIL Synchrotron",
TUPCH113,"J. Rodier, T. Garvey, LAL, Orsay; D.A. Jaroszynski, V.M. Pavlov, Y.M. Saveliev, M. Wiggins, USTRAT/SUPA, Glasgow; M.J. de Loos, S.B. van der Geer, PP, Soest","Construction of the ALPHA-X Photo-injector Cavity",
TUPCH114,"E. Weihreter, V. Duerr, F. Marhauser, BESSY GmbH, Berlin","A Ridged Circular Waveguide Ferrite Load for Cavity HOM Damping",
TUPCH115,"G. Clemente, IAP, Frankfurt-am-Main; L. Groening, GSI, Darmstadt; S. Minaev, ITEP, Moscow; H. Podlech, U. Ratzinger, R. Tiede, IAP, Frankfurt-am-Main","Status of the 70 MeV, 70 mA CH Proton-DTL for FAIR",
TUPCH116,"V.V. Katalev, S. Choroba, DESY, Hamburg","Waveguide Distribution Systems for the European XFEL",
TUPCH117,"R. Wagner, DESY, Hamburg; A.B. Bienkowski, The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock; S. Choroba, A. Gamp, T.G. Grevsmuehl, G.M. Moeller, DESY, Hamburg","Experience with the 208MHz and 52MHz RF Systems for the HERA Proton Accelerator",
TUPCH118,"A. Jankowiak, O. Chubarov, IKP, Mainz; K. Dunkel, ACCEL, Bergisch Gladbach; H. Euteneuer, IKP, Mainz; C. Piel, H. Vogel, P. vom Stein, ACCEL, Bergisch Gladbach","Manufacturing and Testing of 2.45 GHz and 4.90 GHz Biperiodic Accelerating Structures for MAMI C",
TUPCH120,"C. Christou, Diamond, Oxfordshire; K. Dunkel, ACCEL, Bergisch Gladbach; A. Fabris, ELETTRA, Basovizza, Trieste; V.C. Kempson, Diamond, Oxfordshire","The Diamond Light Source Booster RF System",
TUPCH121,"A. Karabarbounis, D. Baltadoros, T. Garetsos, C.N. Papanicolas, E. Stiliaris, IASA, Athens; A. Zolfaghari, MIT, Middleton, Massachusetts","The IASA Cooling System for the 10 MeV Linac",
TUPCH123,"F. Grespan, A. Palmieri, A. Pisent, INFN/LNL, Legnaro, Padova","Dipole Stabilizing Rods System for a Four-vane RFQ: Modeling and Measurement on the TRASCO RFQ Aluminum Model at LNL",
TUPCH124,"A. Sugiura, M. Kanazawa, NIRS, Chiba-shi; K. Katsuki, T. Kusaka, Toshiba, Yokohama, Kanagawa; T. Misu, NIRS, Chiba-shi; K. Sato, Toshiba, Yokohama; S. Yamada, NIRS, Chiba-shi","Improvement of Co-based Amorphous Core for Untuned Broadband RF Cavity",
TUPCH126,"T. Abe, KEK, Ibaraki; Z. Kabeya, MHI, Nagoya; T. Kageyama, KEK, Ibaraki; T. Kawasumi, MHI, Nagoya; T. Nakamura, S. Nishihashi, Asahi Kinzoku Co., Ltd., Gifu; Y. Saito, H. Sakai, Y. Sato, KEK, Ibaraki; K. Tajiri, Churyo Engineering Co., Ltd., Nagoya; Y. Takeuchi, KEK, Ibaraki; K. Tsujimoto, Asahi Kinzoku Co., Ltd., Gifu","Outgassing Rate of Highly Pure Copper Electroplating Applied to RF Cavities",
TUPCH127,"T. Abe, T. Kageyama, H. Sakai, Y. Takeuchi, KEK, Ibaraki","Fine Grooving of Conductor Surfaces of RF Input Coupler to Suppress Multipactoring",
TUPCH128,"C. Ohmori, S. Anami, E. Ezura, Y. Funahashi, K. Hara, K. Hasegawa, KEK, Ibaraki; Y. Morita, ICEPP, Tokyo; M. Nomura, A. Schnase, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; A. Takagi, KEK, Ibaraki; F. Tamura, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; M. Toda, K. Ueno, KEK, Ibaraki; M. Yamamoto, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; M. Yoshii, KEK, Ibaraki; T. Yoshioka, ICEPP, Tokyo","New Cutting Scheme of Magnetic Alloy Cores for J-PARC Synchrotrons",
TUPCH129,"N.P. Abreu, O.R. Bagnato, R.H.A. Farias, M.J. Ferreira, C. Pardine, P.F. Tavares, LNLS, Campinas","Conceptual Design of a 3rd Harmonic Cavity System for the LNLS Electron Storage Ring",
TUPCH130,"F. Tamura, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Anami, E. Ezura, K. Hara, KEK, Ibaraki; M. Nomura, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; C. Ohmori, KEK, Ibaraki; A. Schnase, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; A. Takagi, KEK, Ibaraki; M. Yamamoto, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; M. Yoshii, KEK, Ibaraki","Development of the Feed-forward System for Beam Loading Compensation in the J-PARC RCS",
TUPCH131,"M. Yamamoto, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; S. Anami, E. Ezura, K. Hara, KEK, Ibaraki; K. Hasegawa, JAEA, Ibaraki-ken; M. Nomura, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; C. Ohmori, KEK, Ibaraki; A. Schnase, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; A. Takagi, KEK, Ibaraki; F. Tamura, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; M. Toda, M. Yoshii, KEK, Ibaraki","High Power Test of MA Cavity for J-PARC RCS",
TUPCH132,"J. Watanabe, Toshiba, Yokohama; M. Izawa, KEK, Ibaraki; A. Jackson, ASP, Clayton, Victoria; T. Koseki, RIKEN/RARF/CC, Saitama; G. LeBlanc, ASP, Clayton, Victoria; N. Nakamura, ISSP/SRL, Chiba; K. Nakayama, Toshiba, Yokohama; H. Sakai, ISSP/SRL, Chiba; K. Sato, H. Suzuki, Toshiba, Yokohama; H. Takaki, ISSP/SRL, Chiba; K. Zingre, ASP, Clayton, Victoria","Higher Order Mode (HOM) Damper of 500 MHz Damped Cavity for ASP Storage Ring",
TUPCH133,"J. Shi, H. Chen, TUB, Beijing; D. Li, LBNL, Berkeley, California; R.A. Rimmer, H. Wang, Jefferson Lab, Newport News, Virginia; S. Zheng, TUB, Beijing","Comparison of Measured and Calculated Coupling between a Waveguide and an RF Cavity Using CST Microwave Studio",
TUPCH134,"H. S. Kim, Y.-S. Cho, H.-J. Kwon, K.T. Seol, KAERI, Daejon","RF Characteristics of the PEFP DTL",
TUPCH135,"H.-J. Kwon, Y.-S. Cho, J.-H. Jang, H. S. Kim, K.T. Seol, KAERI, Daejon","Characteristics of the PEFP 3 MeV RFQ",
TUPCH136,"W.H. Hwang, J. Choi, Y.J. Han, J.Y. Huang, H.-G. Kim, S.-C. Kim, I.S. Ko, W.W. Lee, PAL, Pohang, Kyungbuk","Phase Measurement and Compensation System in PLS 2.5 GeV Linac for PAL-XFEL",
TUPCH137,"I.S. Jung, D.H. An, J.-S. Chai, H.B. Hong, S.S. Hong, M.G. Hur, H.S. Jang, J. Kang, J.H. Kim, Y.-S. Kim, KIRAMS, Seoul; K.H. Kwon, SKKU, Seoul; M.Y. Lee, T.K. Yang, KIRAMS, Seoul","Design of the RF System for 30 MeV Cyclotron",
TUPCH140,"S.V. Kuzikov, Yu. Danilov, IAP/RAS, Nizhny Novgorod; A.V. Elzhov, JINR, Dubna, Moscow Region; N.S. Ginzburg, IAP/RAS, Nizhny Novgorod; A. Kaminsky, O.S. Kozlov, E.A. Perelstein, JINR, Dubna, Moscow Region; N.Yu. Peskov, M.I. Petelin, IAP/RAS, Nizhny Novgorod; S. Sedykh, JINR, Dubna, Moscow Region; A. Sergeev, IAP/RAS, Nizhny Novgorod; A.P. Sergeev, JINR, Dubna, Moscow Region; I. Syratchev, CERN, Geneva; A.A. Vikharev, N.I. Zaitsev, IAP/RAS, Nizhny Novgorod","Studies of Thermal Fatigue Caused by Pulsed RF Heating",
TUPCH141,"F. Pérez, B. B. Baricevic, D. Einfeld, H. Hassanzadegan, A. Salom, P. Sanchez, ALBA, Bellaterra","New Developments for the RF System of the ALBA Storage Ring",
TUPCH142,"A. Grudiev, CERN, Geneva","Development of a Novel RF Waveguide Vacuum Valve",
TUPCH143,"C. Rossi, R. Garoby, F. Gerigk, J. Marques Balula, M. Vretenar, CERN, Geneva","High Gradient Tests of an 88 MHZ RF Cavity for Muon Cooling",
TUPCH144,"J.P.H. Sladen, S. Deghaye, CERN, Geneva; A. Dubrovsky, JINR, Dubna, Moscow Region; S. Livesley, J. Marques Balula, J. Mourier, J.-M. Nonglaton, CERN, Geneva","Automatic Conditioning of the CTF3 RF System",
TUPCH145,"J. Norem, ANL, Argonne, Illinois; A. Bross, Fermilab, Batavia, Illinois; D. Li, LBNL, Berkeley, California; A. Moretti, B. Norris, Z. Qian, Fermilab, Batavia, Illinois; R.A. Rimmer, Jefferson Lab, Newport News, Virginia; R. Sandstrom, DPNC, Genève; Y. Torun, IIT, Chicago, Illinois; S.P. Virostek, M.S. Zisman, LBNL, Berkeley, California","The MUCOOL RF Program",
TUPCH146,"J. Norem, ANL, Argonne, Illinois; A. Bross, Fermilab, Batavia, Illinois; A. Hassanein, Z. Insepov, ANL, Argonne, Illinois; D. Li, LBNL, Berkeley, California; A. Moretti, Z. Qian, Fermilab, Batavia, Illinois; R.A. Rimmer, Jefferson Lab, Newport News, Virginia; D.N. Seidman, NU, Evanston, Illinois; Y. Torun, IIT, Chicago, Illinois; K. Yoon, NU, Evanston, Illinois; M.S. Zisman, LBNL, Berkeley, California","The Interactions of Surface Damage on RF Cavity Operation",
TUPCH147,"P.M. Hanlet, M. Alsharo'a, Muons, Inc, Batavia; C.M. Ankenbrandt, Fermilab, Batavia, Illinois; R. E. Hartline, R.P. Johnson, Muons, Inc, Batavia; D.M. Kaplan, Illinois Institute of Technology, Chicago, Illinois; M. Kuchnir, Muons, Inc, Batavia; A. Moretti, Fermilab, Batavia, Illinois; K. Paul, Muons, Inc, Batavia; M. Popovic, Fermilab, Batavia, Illinois; K. Yonehara, Illinois Institute of Technology, Chicago, Illinois","High Pressure RF Cavities in Magnetic Fields",
TUPCH148,"D. Li, LBNL, Berkeley, California; A. Bross, A. Moretti, Fermilab, Batavia, Illinois; J. Norem, ANL, Argonne, Illinois; B. Norris, Fermilab, Batavia, Illinois; H.L. Phillips, Jefferson Lab, Newport News, Virginia; M. Reep, UMiss, University, Mississippi; R.A. Rimmer, M. Stirbet, Jefferson Lab, Newport News, Virginia; D.J. Summers, UMiss, University, Mississippi; Y. Torun, IIT, Chicago, Illinois; S.P. Virostek, M.S. Zisman, LBNL, Berkeley, California","201 MHz Cavity Ramp;D for MUCOOL and MICE",
