moa1pl01,"H. Bartosik [CERN, Geneva, Switzerland] ","Challenges in Understanding Space Charge Dynamics",99 98,
wep2po003,"I. Karpov, P. Baudrenghien [CERN, Geneva, Switzerland] ","Beam Loading and Longitudinal Stability Evaluation for the FCC-ee Rings",266 271,
wep2po006,"V. Forte, S.C.P. Albright, W. Bartmann, G.P. Di Giovanni, M.A. Fraser, C. Hessler (C. Heßler), A. Huschauer, A. Oeftiger [CERN, Geneva, Switzerland] ","Overview of the CERN PSB-to-PS Transfer Line Optics Matching Studies in View of the LHC Injectors Upgrade Project",272 277,
wep2po007,"V. Forte, C. Bracco, G.P. Di Giovanni, M.A. Fraser, A.M. Lombardi, B. Mikulec [CERN, Geneva, Switzerland] ","Multi-Particle Simulations of the Future CERN PSB Injection Process with Updated Linac4 Beam Performance",278 283,
wep2po008,"A. Alekou, H. Bartosik, R. Calaga, M. Carlà, Y. Papaphilippou [CERN, Geneva, Switzerland] R.B. Appleby, R.B. Appleby [UMAN, Manchester, United Kingdom] R.B. Appleby [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","SPS Long Term Stability Studies in the Presence of Crab Cavities and High Order Multipoles",284 286,
wep2po010,"F.G. Garcia, S. Chaurize, C.C. Drennan, K. E. Gollwitzer, V.A. Lebedev, W. Pellico, J. Reid, C.-Y. Tan, R.M. Zwaska [Fermilab, Batavia, Illinois, USA] ","Fermilab - The Proton Improvement Plan (PIP)",287 290,
wep2po011,"M.S. Beck, H. Bartosik, M. Carlà, K.S.B. Li, G. Rumolo, M. Schenk [CERN, Geneva, Switzerland] U. van Rienen [Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock, Germany] ","Studies of Transverse Instabilities in the CERN SPS",291 295,
wep2po015,"H. Jin, Y. Choi, S. Lee [IBS, Daejeon, Republic of Korea] ","Progress and Plan of the Fast Protection System in the RAON Accelerator",296 298,
wep2po016,"H. Kim, J.W. Choi, Y.W. Jo, H.C. Jung, Y. Jung, J.W. Kim, M.S. Kim, Y. Kim, M. Lee [IBS, Daejeon, Republic of Korea] ","Temperature Measurement of Cryomodules*",299 302,
wep2po017,"M.Y. Huang, S. Wang, S.Y. Xu [IHEP, Beijing, People's Republic of China] ","Study on the Leakage Fields of the Septum and Lambertson Magnets during the Beam Commissioning",303 305,
wep2po018,"S.Y. Xu, S. Fu [IHEP, Beijing, People's Republic of China] ","Magnetic Field Tracking at CSNS/RCS",306 308,
wep2po022,"M.Y. Huang, S. Wang, S.Y. Xu [IHEP, Beijing, People's Republic of China] ","Study on the Phase Space Painting Injection during the Beam Commissioning for CSNS",309 311,
wep2po023,"M.Y. Huang, D.P. Jin, L. Shen, S. Wang, S.Y. Xu, P. Zhu [IHEP, Beijing, People's Republic of China] ","Timing Adjustment of Eight Kickers and a Method to Calibrate the Kicker Current Curves During the Beam Commissioning for CSNS",312 314,
wep2po024,"J. Li, J.C. Yang [IMP/CAS, Lanzhou, People's Republic of China] ","Resonance Stop-bands Compensation at Booster Ring of HIAF",315 318,
wep2po027,"N.Yu. Kazarinov, J. Franko, G.G. Gulbekyan, I.A. Ivanenko, I.V. Kalagin [JINR, Dubna, Moscow Region, Russia] ","Simulation of the Axial Injection Beam Line of the Reconstructed U200 Cyclotron of FLNR JINR",319 323,
wep2po028,"N.Yu. Kazarinov, P.Yu. Apel, V. Bashevoy, V. Bekhterev, S.L. Bogomolov, O.N. Borisov, J. Franko, G.G. Gulbekyan, I.A. Ivanenko, I.V. Kalagin, V.I. Mironov, S.V. Mitrofanov, V.A. Semin, V.A. Skuratov, A. Tikhomirov [JINR, Dubna, Moscow Region, Russia] ","Conceptual Design of FLNR JINR Radiation Facility Based on DC130 Cyclotron",324 328,
wep2po030,"R. Dölling, M. Rohrer [PSI, Villigen PSI, Switzerland] ","A 4D Emittance Measurement Device for the 870 keV HIPA Injection Line",329 333,
wep2po032,"R. Dölling, M. Rohrer [PSI, Villigen PSI, Switzerland] ","A Secondary Emission Monitor in the SINQ Beam Line for Improved Target Protection",334 337,
wep2po033,"R. Dölling, R. Dressler [PSI, Villigen PSI, Switzerland] L. Calabretta [INFN/LNS, Catania, Italy] ","A Test of Stripper Foil Lifetime in PSI's 72 MeV Proton Beam",338 341,
