thpb17,"C. Feng, D. Wang, Z.T. Zhao, SINAP, Shanghai","Pre-density Modulation of the Electron Beam for Soft X-ray FEL in the Water Window",629 631,
thpb18,"A. Gurinovich, V.G. Baryshevsky, N.A. Belous, V.A. Evdokimov, E.A. Gurnevich, P.V. Molchanov, Belarussian State University, Scientific Research Institute of Nuclear Problems, Minsk","Experimental Studies of Volume Fels With a Photonic Crystal Made of Foils",632 635,
thpb21,"D.J. Dunning, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; B.W.J. McNeil, USTRAT/SUPA, Glasgow; N. Thompson, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire","Long-Scale Modulation of Electron Beam Energy in Free Electron Lasers",636 639,
thpb22,"H. Tomizawa, H. Dewa, H. Hanaki, A. Mizuno, T. Taniuchi, JASRI/SPring-8, Hyogo-ken","First Emission of Novel Photocathode Gun Gated by Laser-Induced Schottky-Effect",640 643,
thpb25,"T. Denis, K.-J. Boller, P.J.M. van der Slot, Mesa+, Enschede","Proof of Principle: The Single Beam Photonic Free-Electron Laser",644 647,
thpc02,"T. Kii, M. A. Bakr, Y.W. Choi, K. Ishida, N. Kimura, R. Kinjo, K. Masuda, H. Ohgaki, T. Sonobe, M. Takasaki, S. Ueda, K. Yoshida, Kyoto IAE, Kyoto","A Study on Field Error of Bulk HTSC Staggered Array Undulator Originated from Variation of Critical Current Density of Bulk HTSCs",648 651,
thpc04,"Y. Li, J. Pflüger, European XFEL GmbH, Hamburg","Investigation of the R56 of a Permanent Magnet Phase Shifter",652 655,
thpc05,"U. Lehnert, FZD, Dresden; A. Aksoy, Ankara University, Faculty of Engineering, Tandogan, Ankara; M. Helm, P. Michel, H. Schneider, W. Seidel, S. Winnerl, FZD, Dresden","Conceptual Design of a THz Facility at the ELBE Radiation Source",656 659,
thpc06,"C. Boffo, BNG, Würzburg; T. Baumbach, S. Casalbuoni, S. Gerstl, A.W. Grau, M. Hagelstein, D. Saez de Jauregui, Karlsruhe Institute of Technology (KIT), Karlsruhe; W. Walter, BNG, Würzburg","R&D Collaboration on Superconducting Insertion Devices Between ANKA-KIT and Babcock Noell",660 663,
thpc08,"M. Kokole, KYMA, Trieste; B. Diviacco, ELETTRA, Basovizza; T. Milharcic, KYMA, Trieste; G. Soregaroli, M. Tedeschi, Euromisure srl, Pieve S. Giacomo (CREMONA); M. Zambelli, KYMA, Trieste","Magnetic Characterization of the FEL-1 Undulators for the FERMI@Elettra Free-Electron Laser",664 666,
thpc10,"L. Froehlich, G. Cautero, ELETTRA, Basovizza; D. Di Giovenale, INFN-Roma II, Roma; D. Giuressi, R.H. Menk, ELETTRA, Basovizza","The Machine Protection System for FERMI@Elettra",667 670,
thpc11,"P. Craievich, ELETTRA, Basovizza; M. Dal Forno, DEEI, Trieste","Cavity BPM Design, Simulations and Testing for the FERMI@Elettra Project",671 674,
thpc12,"A. Hedqvist, H. Danared, MSL, Stockholm; W. Decking, DESY, Hamburg; F. Hellberg, MSL, Stockholm; S. Karabekyan, European XFEL GmbH, Hamburg; B. Krause, DESY, Hamburg; J. Pflüger, European XFEL GmbH, Hamburg","XFEL Activities at MSL: Undulator Temperature Compensation and Quadrupole Fiducialization",675 678,
thpc22,"R. Kinjo, M. A. Bakr, Y.W. Choi, K. Ishida, T. Kii, N. Kimura, K. Masuda, K. Nagasaki, H. Ohgaki, T. Sonobe, M. Takasaki, S. Ueda, K. Yoshida, Kyoto IAE, Kyoto","Performance of Bulk HTSC Staggered Array Undulator at Low Temperature",679 682,
thtui1,"J.C. Frisch, SLAC, Menlo Park, California","Diagnostics for Free Electron Lasers",704 704,
tuoa3,"K. Tsumaki, JASRI/SPring-8, Hyogo-ken","Feasibility Study of Short-Wavelength and High-Gain EFLs in an Ultimate Storage Ring",189 192,
tuoa4,"D. Douglas, W. Akers, S.V. Benson, G.H. Biallas, K. Blackburn, J.R. Boyce, D.B. Bullard, J.L. Coleman, C. Dickover, F.K. Ellingsworth, P. Evtushenko, S. Fisk, C.W. Gould, J.G. Gubeli, F.E. Hannon, D. Hardy, C. Hernandez-Garcia, K. Jordan, J.M. Klopf, J. Kortze, JLAB, Newport News, Virginia; R.A. Legg, UW-Madison/SRC, Madison, Wisconsin; R. Li, M. Marchlik, S.W. Moore, G. Neil, T. Powers, D.W. Sexton, I. Shin, M.D. Shinn, C. Tennant, B. Terzic, R.L. Walker, G.P. Williams, F.G. Wilson, S. Zhang, JLAB, Newport News, Virginia","Use Of Multipass Recirculation And Energy Recovery In CW SRF X-FEL Driver Accelerators",193 196,
tuoai1,"M. Katoh, UVSOR, Okazaki","Radiation From Laser-Modulated and Laser-Sliced Electron Bunches in UVSOR-II",183 187,
tuoai2,"G. De Ninno, E. Allaria, ELETTRA, Basovizza; M. Coreno, CNR - IMIP, Trieste; M.B. Danailov, ELETTRA, Basovizza; G. De Ninno, University of Nova Gorica, Nova Gorica; E. Ferrari, Università degli Studi di Trieste, Trieste; G. Geloni, European XFEL GmbH, Hamburg; E. Karantzoulis, C. Spezzani, M. Trovò, ELETTRA, Basovizza","The Elettra Storage-Ring Free-Electron Laser: a Source for FEL Studies and User Experiments",188 188,
tuob3,"H.X. Deng, J.H. Chen, C. Feng, D.G. Li, D. Wang, SINAP, Shanghai","A Comparison Study of High Harmonic Characterizations in EEHG Operation of SDUV-FEL",202 205,
tuob4,"D.F. Ratner, SLAC, Menlo Park, California; R.M. Bionta, LLNL, Livermore, California; A. Brachmann, F.-J. Decker, Y.T. Ding, D. Dowell, P. Emma, J.C. Frisch, Z. Huang, R.H. Iverson, J. Krzywinski, H. Loos, M. Messerschmidt, H.-D. Nuhn, T.J. Smith, J.L. Turner, J.J. Welch, W.E. White, J. Wu, SLAC, Menlo Park, California","Second and Third Harmonic Measurements at the Linac Coherent Light Source",206 209,
