THPMA110,"M. Petrichenkov, A.D. Goncharov, V. Klyuev, S.G. Konstantinov, A. Kozhemyakin, A. Kryuchkov, V.V. Parkhomchuk, S. Rastigeev, V.B. Reva, BINP SB RAS, Novosibirsk","Status of BINP AMS Facility",794 796,
THPMA111,"V.K. Senecha, M. Kawai, KEK, Ibaraki","Target Assembly Design and Neutronics Study for Indian Spallation Neutron Source Using NMTC/JAM Code",797 799,
THPMA114,"G.N. Kim, Kyungpook National University, Daegu; M.-H. Cho, POSTECH, Pohang, Kyungbuk; H.-S. Kang, PAL, Pohang, Kyungbuk; I.S. Ko, W. Namkung, POSTECH, Pohang, Kyungbuk; Y. D. Oh, PAL, Pohang, Kyungbuk","Activities on the Nuclear Data Measurement at the Pohang Neutron Facility Based on Electron Linac",800 802,
THPMA115,"M. Tanigaki, KURRI, Osaka; S. Fukumoto, Mitsubishi Electric Corp, Energy amp; Public Infrastructure Systems Center, Kobe; M. Inoue, KURRI, Osaka; Y. Ishi, Mitsubishi Electric Corp, Energy amp; Public Infrastructure Systems Center, Kobe; S. Machida, STFC/RAL/ASTeC, Chilton, Didcot, Oxon; K. Mishima, Y. Mori, S. Shiroya, KURRI, Osaka","Present Status of the FFAG Accelerator Complex in KURRI for ADS Study",803 805,
THPMA117,"H.-G. Lee, C.W. Chung, H.S. Han, Y.G. Jung, D.E. Kim, W.W. Lee, K.-H. Park, H.S. Suh, PAL, Pohang, Kyungbuk","Design and Fabrication of Arups U6 Undulator at PLS",806 808,
THPMA118,"N.K. Kuksanov, S. Fadeev, P.I. Nemytov, R.A. Salimov, M.E. veis, BINP SB RAS, Novosibirsk","Electron Accelerator of ELV-type and their Worldwide Application",809 811,
THPMA121,"P.V. Bhagwat, R.K. Choudhury, J.A. Gore, A.K. Gupta, S. Kailas, BARC, Mumbai; M.B. Kurup, TIFR, Mumbai; N. Mehrotra, j.p. Nair, BARC, Mumbai; V.C. Sahni, RRCAT, Indore (M.P.); S.C. Sharma, P. Surendran, BARC, Mumbai","Accelerator Based Applications At BARC-TIFR Pelletron Accelerator Facility",812 814,
THPMA123,"R.G. Sonkawade, IUAC, New Delhi; R.V. Kolekar, Bhabha Atomic Research Centre, Mumbai; P.K. Kumar, S.P. Lochab, B.S. Singh, IUAC, New Delhi","Analysis and Evaluation of Gamma and Neutron Dosimetry from 48 MeV 7Li on Natural Cu and its Dose Simulation with MCNP",815 817,
THPMA126,"H.B. WANG, X. Jin, M. Li, X.S. Liu, Z. Xu, CAEP/IAE, Mianyang, Sichuan","Beam Optics Design for DC High-voltage Accelerator of MW Level",818 820,
THPMA127,"S.H. Kim, M.-H. Cho, POSTECH, Pohang, Kyungbuk; S. D. Jang, PAL, Pohang, Kyungbuk; S.-I. Moon, W. Namkung, POSTECH, Pohang, Kyungbuk; J.-S. Oh, PAL, Pohang, Kyungbuk; B. Park, POSTECH, Pohang, Kyungbuk; S.J. Park, Y. G. Son, PAL, Pohang, Kyungbuk; H.R. Yang, POSTECH, Pohang, Kyungbuk","Development of L-band Electron Accelerator for Irradiation Source",821 823,
THPMA129,"S.C. Bapna, R. Banwari, M. Borage, A. Kasliwal, S. Kotaiah, A. Kumar, P. Kumar, R. Promod, S.R. Tiwari, S.V. Venkateswaran, RRCAT, Indore (M.P.)","High Power Industrial Electron Accelerator",824 826,
THPMA130,"T. Bhattacharjee, S. Bandyopadhyay, R.B. Bhole, Chaddha, N. Chaddha, A. De, Kundu, K.C. Kundu, J. Misra, S. Pal, A. Roy, B. Sarkar, DAE/VECC, Calcutta","Introduction of EPICS in VEC amp; SCC Control Systems",827 828,
THPMA131,"V.C. Sahni, V.B. Bhanage, J. Dwivedi, A.K. Jain, P. Khare, S. Kotaiah, A. Kumar, P.K. Kush, S.S. Prabhu, A. Puntambekar, A. Rawat, RRCAT, Indore (M.P.); R.K. Sadhu, BARC, Mumbai; A. Sharma, R.S. Shridhar, P. Shrivastava, G. Singh, RRCAT, Indore (M.P.)","Indian Participation in LHC, SPL and CTF-3 Projects at CERN, Switzerland",829 831,
THXMA02,"M. Vretenar, G. Bellodi, R. Garoby, F. Gerigk, K. Hanke, A.M. Lombardi, S. Maury, M. Pasini, C. Rossi, E.Zh. Sargsyan, CERN, Geneva","Linear Accelerator Designs for the Upgrade of the CERN Proton Injector Complex (Linac4, SPL)",529 533,
THXMA03,"J.W. Xia, Y. He, Y. Liu, J.C. Yang, X.D. Yang, W.-L. Zhan, Y. yuan, IMP, Lanzhou","Construction and Commissioning of the HIRFL-CSR",534 538,
THYMA01,"F. Marcellini, INFN/LNF, Frascati (Roma)","Kickers for Injection and Extraction in Damping, Combiner and Storage Rings",539 543,
THYMA02,"W. Wuensch, CERN, Geneva","Progress in Understanding the High-gradient Limitations of Accelerating Structures",544 548,
THYMA03,"Ch. Wang, L.-H. Chang, M.H. Chang, S.-S. Chang, F.-T. Chung, F. Z. Hsiao, M.-C. Lin, Y.-H. Lin, M.H. Tsai, T.-T. Yang, M.-S. Yeh, NSRRC, Hsinchu","Commissioning Experience of Superconducting Radio Frequency Systems for the Taiwan Light Source",549 553,
THYMA04,"A. Roy, IUAC, New Delhi","Development of Quarter Wave Resonators",554 558,
