fraau01,"K. Honkavaara, B. Faatz, S. Schreiber, DESY, Hamburg","Status of FLASH",533 536,
thbau05,"A. H. Lumpkin, Fermilab, Batavia, Illinois; R. J. Dejus, N. Sereno, ANL, Argonne, Illinois","COTR and SASE Generated by Compressed Electron Beams",501 506,
thcau01,"N. Vinokurov, E. N. Dementyev, B. A. Dovzhenko, N. Gavrilov, B. A. Knyazev, E. I. Kolobanov, V. V. Kubarev, G. N. Kulipanov, A. N. Matveenko, L. E. Medvedev, S. V. Miginsky, L. A. Mironenko, V. K. Ovchar, V. M. Popik, T. V. Salikova, M. A. Scheglov, S. S. Serednyakov, O. A. Shevchenko, A. N. Skrinsky, V. G. Tcheskidov, Y. Tokarev, P. Vobly, BINP SB RAS, Novosibirsk","Commissioning of Novosibirsk Multi-pass Energy Recovery Linac",507 510,
thcau02,"D. C. Nguyen, LANL, Los Alamos, New Mexico","Development of High-average-current RF Injectors",511 516,
thcau03,"P. Evtushenko, S. V. Benson, D. Douglas, D. W. Sexton, JLAB, Newport News, Virginia","Electron Beam Timing Jitter and Energy Modulation Measurements at the JLab ERL",517 520,
thcau05,"N. Hafz, D.-K. Ko, J. Lee, APRI-GIST, Gwangju","Generation of Stable GeV-class Electron Beams from Laser-Plasmas and their Applications in Compact FELs",521 523,
thdau01,"U. Fruehling, DESY, Hamburg; F. Budzyn, M. Drescher, T. Gebert, Uni HH, Hamburg; M. Gensch, DESY, Hamburg; O. Grimm, R. Kalms, M. Krikunova, Uni HH, Hamburg; E. Plönjes, DESY, Hamburg; J. Rossbach, M. Wieland, Uni HH, Hamburg","Light Field Driven Streak-camera: Towards a Single Pulse Time Structure Measurement at FLASH",524 524,
thdau04,"E. J. Minehara, JAEA/FEL, Ibaraki-ken","Non-thermal Laser Machining with ERL-FELs for Nuclear Industries",525 528,
thdau05,"V. Litvinenko, BNL, Upton, Long Island, New York; G. I. Bell, Tech-X, Boulder, Colorado; I. Ben-Zvi, M. Blaskiewicz, BNL, Upton, Long Island, New York; D. L. Bruhwiler, Tech-X, Boulder, Colorado; Y. S. Derbenev, JLAB, Newport News, Virginia; A. V. Fedotov, Y. Hao, A. Kayran, E. Pozdeyev, BNL, Upton, Long Island, New York; S. Reiche, UCLA, Los Angeles, California; O. A. Shevchenko, BINP SB RAS, Novosibirsk; A. V. Sobol, Tech-X, Boulder, Colorado; D. Trbojevic, BNL, Upton, Long Island, New York; N. Vinokurov, BINP SB RAS, Novosibirsk; G. Wang, BNL, Upton, Long Island, New York","Progress with FEL-based Coherent Electron Cooling",529 532,
tuaau01,"R. Prazeres, LCP/CLIO, ORSAY CEDEX; F. Glotin, J.-M. Ortega, CLIO/ELISE/LCP, Orsay","Analysis of the Periodic Spectral Gaps Observed in the Tuning Range of FELs with a Partial Waveguide",184 191,
tuaau02,"H. L. Andrews, C. A. Brau, Vanderbilt University, Nashville, TN; R. Durant, C. F. Guertin, Vermont Photonics, Bellows Falls, VT; J. D. Jarvis, Vanderbilt University, Nashville, TN; T. H. Lowell, M. R. Mross, A. O'Donnell, Vermont Photonics, Bellows Falls, VT","Superlinear Current Dependence in a Grating-Based Tunable THz Source",192 195,
tuaau03,"T. Kii, K. Higashimura, Kyoto IAE, Kyoto; Y. U. Jeong, KAERI, Daejon; R. Kinjo, Kyoto IAE, Kyoto; R. Kuroda, AIST, Tsukuba, Ibaraki; K. Masuda, H. Ohgaki, H. Zen, Kyoto IAE, Kyoto","Design Study on THz Seeded FEL Using Photocathode RF Gun and Short Period Undulator",196 199,
