fra1co03,"A. D'Audney, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] ","An Ultra-High Resolution Pulsed-Wire Magnet Measurement System",1268 1270,
mopob76,"C. Xu, I. Ben-Zvi, Y. Hao, V. Ptitsyn, K.S. Smith, B. P. Xiao, W. Xu [BNL, Upton, Long Island, New York, USA] ","Field Emission Dark Current Simulation for eRHIC ERL Cavities",235 237,
mopob81,"P. He, D.Z. Guo, B. Liu, Y. Ma, Y.C. Yang, L. Zhang [IHEP, Beijing, People's Republic of China] ","Deposition of Non-Evaporative Getters R&D Activity for HEPS-TF",238 239,
tha1co03,"M.A.G. Johansson [MAX IV Laboratory, Lund University, Lund, Sweden] K. Karaś (K. Karaś) [Solaris National Synchrotron Radiation Centre, Jagiellonian University, Krakow, Poland] R. Nietubyc (R. Nietubyć) [NCBJ, Swierk/Otwock, Poland] ","MAX IV and Solaris 1.5 GeV Storage Rings Magnet Block Production Series Measurement Results",1058 1060,
tha1co04,"A.V. Zlobin, V.V. Kashikhin [Fermilab, Batavia, Illinois, USA] ","Persistent Current Effect in 15-16 T Nb3Sn Accelerator Dipoles and its Correction",1061 1063,
tha1co05,"Y. Shiroyanagi, J.D. Fuerst, Q.B. Hasse, Y. Ivanyushenkov [ANL, Argonne, Illinois, USA] ","Thermal Modeling and Cryogenic Design of a Helical Superconducting Undulator Cryostat",1064 1067,
tha1co06,"Y. Ivanyushenkov, C.L. Doose, J.F. Fuerst, E. Gluskin, K.C. Harkay, Q.B. Hasse, M. Kasa, Y. Shiroyanagi, D. Skiadopoulos, E. Trakhtenberg [ANL, Argonne, Illinois, USA] P. Emma [SLAC, Menlo Park, California, USA] ","Status of the Development of Superconducting Undulators for Storage Rings and Free Electron Lasers at the Advanced Photon Source",1068 1070,
tha1io02,"M.A. Drury, F. Humphry, L.K. King, M.D. McCaughan, A.D. Solopova [JLab, Newport News, Virginia, USA] ","Results of the 2015 Helium Processing of CEBAF Cryomodules",1054 1057,
tha2co03,"E. Pirez, P. Musumeci [UCLA, Los Angeles, California, USA] D. Alesini [INFN/LNF, Frascati (Roma), Italy] J.M. Maxson [Cornell University, Ithaca, New York, USA] ","New 1.4 Cell RF Photoinjector Design for High Brightness Beam Generation",1083 1086,
tha2co04,"Y.L. Huang [IMP/CAS, Lanzhou, People's Republic of China] J. Guo, R.A. Rimmer, H. Wang, S. Wang [JLab, Newport News, Virginia, USA] ","Bench Measurements of a Multi-Frequency Prototype Cavity for the Fast Kicker in the JLEIC Circulator Cooler Ring",1087 1090,
tha2io01,"Q. Qin, J. Gao, H. Geng, P. He, D. Wang, N. Wang, Y. Wang, Y. Zhang [IHEP, Beijing, People's Republic of China] ","Specifics of Electron Dynamics in High Energy Circular e+e- Colliders",1071 1076,
tha2io02,"G. Le Bec, J. Chavanne [ESRF, Grenoble, France] ","High Gradient PM Technology for Ultra-High Brightness Rings",1077 1082,
tha3co04,"C.S. Park, D. Milana, V.D. Shiltsev, G. Stancari, J.C.T. Thangaraj [Fermilab, Batavia, Illinois, USA] D. Milana [Politecnico/Milano, Milano, Italy] ","Space Charge Compensation Using Electron Columns and Electron Lenses at IOTA",1257 1259,
tha3io01,"I. Kourbanis [Fermilab, Batavia, Illinois, USA] ","FNAL Accelerator Complex Upgrade Possibilities",1248 1251,
tha3io02,"J.G. Weisend [ESS, Lund, Sweden] ","The ESS Accelerator: Moving into Construction",1252 1256,
thb2io02,"D.A. Rotsch, K. Alford, J.L. Bailey, D.L. Bowers, T. Brossard, M.A. Brown, S. Chemerisov, D. Ehst, J.P. Greene, R. Gromov, J.J. Grudzinski, L. Hafenrichter, A.S. Hebden, T.A. Heltemes, W.F. Henning, J. Jerden, C.D. Jonah, M. Kalensky, J.F. Krebs, V. Makarashvili, B.J. Micklich, J.A. Nolen, K.J. Quigley, J.F. Schneider, N.A. Smith, D.C. Stepinski, P. Tkac, G.F. Vandegrift, M. Virgo, K.A. Wesolowski, A.J. Youker [ANL, Argonne, Illinois, USA] Z. Sun [SCSU, Orangeburg, South Carolina, USA] ","Production of Medical Isotopes With Electron Linacs",1091 1095,
thb2io03,"I. Pogorelsky, I. Ben-Zvi, M.A. Palmer [BNL, Upton, Long Island, New York, USA] ","Fulfilling the Mission of Brookhaven ATF as DOE's Flagship User Facility in Accelerator Stewardship",1096 1100,
