FRXBCH01,"K.J. Peach, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Novel Ideas and Ramp;D for High Intensity Neutrino Beams",
MOPLT004,"L. Arnaudon, M.D. Disdier, P.M. Maesen, M.P. Prax, CERN, Geneva","Control of the LHC 400 MHz RF System (ACS)",
MOPLT005,"R.W. Assmann, O. Aberle, CERN, Geneva; I.L. Ajguirei, I. Baishev, IHEP Protvino, Protvino, Moscow Region; A. Bertarelli, H.-H. Braun, M. Brugger, L. Bruno, O.S. Brüning, S. Calatroni, E. Chiaveri, B. Dehning, A. Ferrari, B. Goddard, E.B. Holzer, J.-B. Jeanneret, J.M. Jimenez, V. Kain, CERN, Geneva; D. Kaltchev, TRIUMF, Vancouver; I.L. Kurochkin, IHEP Protvino, Protvino, Moscow Region; M. Lamont, M. Mayer, E. Métral, R. Perret, S. Redaelli, T. Risselada, G. Robert-Demolaize, S. Roesler, F. Ruggiero, R. Schmidt, D. Schulte, P. Sievers, CERN, Geneva; H. Tsutsui, SHI, Tokyo; V. Vlachoudis, L. Vos, G. Vossenberg, J. Wenninger, CERN, Geneva","An Improved Collimation System for the LHC",
MOPLT006,"R.W. Assmann, O. Aberle, O.S. Brüning, S. Chemli, D. Gasser, J.-B. Jeanneret, J.M. Jimenez, V. Kain, CERN, Geneva; D. Kaltchev, TRIUMF, Vancouver; E. Métral, G. Peon, S. Ramberger, C. Rathjen, T. Risselada, F. Ruggiero, L. Vos, CERN, Geneva","The New Layout of the LHC Cleaning Insertions",
MOPLT007,"M. Benedikt, S. Hancock, M. Lindroos, CERN, Geneva","Base Line Design for a Beta-beam Neutrino Facility",
MOPLT008,"A. Bertarelli, O. Aberle, R.W. Assmann, E. Chiaveri, T. Kurtyka, M. Mayer, R. Perret, P. Sievers, CERN, Geneva","The Mechanical Design for the LHC Collimators",
MOPLT009,"J. Borburgh, B. Balhan, E.H.R. Gaxiola, B. Goddard, Y. Kadi, J.A. Uythoven, CERN, Geneva","The Design of the New Fast Extraction Channel for LHC",
MOPLT010,"H.-H. Braun, R.W. Assmann, A. Ferrari, J.-B. Jeanneret, J.M. Jowett, CERN, Geneva; I.A. Pshenichnov, RAS/INR, Moscow","Collimation of Heavy Ion Beams in LHC",
MOPLT012,"H. Burkhardt, B. Goddard, Y. Kadi, V. Kain, W.J.M. Weterings, CERN, Geneva","Collimation in the Transfer Lines to the LHC",
MOPLT013,"S. Calatroni, H. Neupert, M. Taborelli, CERN, Geneva","Fatigue Testing of Materials by UV Pulsed Laser Irradiation",
MOPLT014,"V. Chohan, M. Buzio, G. De Rijk, J. Miles, P. Pugnat, V. Remondino, S. Sanfilippo, A.D. Siemko, N. Smirnov, B. Vullierme, L. Walckiers, CERN, Geneva","Testing of the LHC Magnets in Cryogenic Conditions: Current Experience and Near Future Outlook",
MOPLT015,"R. Filippini, E. Carlier, B. Goddard, J.A. Uythoven, CERN, Geneva","Reliability Issues of the LHC Beam Dumping System",
MOPLT016,"E.H.R. Gaxiola, A. Antoine, P. Burkel, E. Carlier, F. Castronuovo, L. Ducimetière, Y. Sillanoli, M. Timmins, J.A. Uythoven, CERN, Geneva","Upgrade and Tests of the SPS Fast Extraction Kicker System for LHC and CNGS",
MOPLT017,"B. Goddard, P. Collier, M. Lamont, V. Mertens, K. Sigerud, J.A. Uythoven, J. Wenninger, CERN, Geneva","Beam Commissioning of the SPS LSS4 Extraction and the TT40 Transfer Line",
MOPLT018,"B. Goddard, M. Gyr, J.-B. Jeanneret, V. Kain, M. Lamont, V. Maire, V. Mertens, J. Wenninger, CERN, Geneva","Aperture and Delivery Precision of the LHC Injection System",
MOPLT019,"W. Höfle, CERN, Geneva","Experience Gained in the SPS for the Future LHC Abort Gap Cleaning",
MOPLT020,"J.M. Jowett, H.-H. Braun, M.I. Gresham, E. Mahner, A.N. Nicholson, CERN, Geneva; I.A. Pshenichnov, RAS/INR, Moscow; E.N. Shaposhnikova, CERN, Geneva","Limits to the Performance of the LHC with Ion Beams",
MOPLT021,"V. Kain, B. Goddard, Y. Kadi, R. Schmidt, CERN, Geneva","Attenuation and Emittance Growth of 450 GeV and 7 TeV Proton Beams in Low-Z Absorber Elements",
MOPLT022,"V. Kain, O.S. Brüning, L. Ducimetière, B. Goddard, M. Lamont, V. Mertens, CERN, Geneva","The Expected Performance of the LHC Injection Protection System",
MOPLT023,"E. Keil, CERN, Geneva; J.S. Berg, BNL, Upton, Long Island, New York; A. Sessler, LBNL, Berkeley, California","Electron Model of an FFAG Muon Accelerator",
MOPLT024,"M. Korostelev, J. Wenninger, F. Zimmermann, CERN, Geneva","Flexibility, Tolerances, and Beam-Based Tuning of the CLIC Damping Ring",
MOPLT025,"V. Mertens, B. Goddard, T. Risselada, CERN, Geneva","Status and Plans for the SPS to LHC Beam Transfer Lines TI 2 and TI 8",
MOPLT026,"E. Manola-Poggioli, S.-A. Chalard, C. Delamare, T. Ladzinski, S. Mallon-Amerigo, P. Martel, S. Petit, T. Pettersson, O. Rademakers Di Rosa, B. Rousseau, A.S. Suwalska, D. Widegren, CERN, Geneva","Equipment Manufacturing and Test Data Tracking for the LHC",
MOPLT027,"D.R. Ramos, D. Chauville, J. Knaster, R. Veness, CERN, Geneva","Cold Beam Vacuum Interconnects for the LHC Insertion Regions",
MOPLT028,"S. Redaelli, W. Coosemans, CERN, Geneva","In-Situ Vibration Measurements of the CTF2 Quadrupoles",
MOPLT029,"A. Rohlev, J. Broere, R. Garoby, I. Kozsar, J. Serrano, CERN, Geneva","All Digital IQ Servo-system for CERN Linacs",
MOPLT030,"F. Ruggiero, O.S. Brüning, CERN, Geneva; A. Devred, CEA/DSM/DAPNIA, Gif-sur-Yvette; R. Ostojic, L. Rossi, W. Scandale, T.M. Taylor, CERN, Geneva","Performance Limits and IR Design of a Possible LHC Luminosity Upgrade Based on Nb-Ti SC Magnet Technology",
MOPLT031,"E.N. Shaposhnikova, S.D. Fartoukh, J.-B. Jeanneret, CERN, Geneva","LHC Abort Gap Filling by Proton Beam",
MOPLT032,"M. Taborelli, S. Calatroni, M. Kildemo, CERN, Geneva","Breakdown Resistance of Refractory Metals Compared to Copper",
MOPLT033,"J. Tuckmantel, T. Bohl, T.P.R. Linnecar, E.N. Shaposhnikova, CERN, Geneva","Experimental Studies of Controlled Longitudinal Emittance Blow-up in the SPS as LHC Injector and LHC Test-Bed",
MOPLT034,"J.A. Uythoven, R. Filippini, B. Goddard, M. Gyr, V. Kain, R. Schmidt, J. Wenninger, CERN, Geneva","Possible Causes and Consequences of Serious Failures of the LHC Machine Protection System",
MOPLT035,"J.A. Uythoven, G. Arduini, T. Bohl, F. Caspers, E.H.R. Gaxiola, T. Kroyer, M. Timmins, L. Vos, CERN, Geneva","Beam Induced Heating of the SPS Fast Pulsed Magnets",
MOPLT037,"E. Vogel, W. Höfle, CERN, Geneva","Simulation of Transient Beam-feedback Interaction with Application to the Extraction of the CNGS Beam from the SPS",
MOPLT038,"W.J.M. Weterings, B. Goddard, B. Riffaud, M. Sans Merce, CERN, Geneva","Conceptual Design of the LHC Beam Dumping Protection Elements TCDS and TCDQ",
MOPLT039,"F. Zimmermann, D. Schulte, CERN, Geneva","QCD Explorer Based on LHC and CLIC-1",
MOPLT040,"M. Pekeler, S. Bauer, B. Griep, H.P. Vogel, P. vom Stein, ACCEL, Bergisch Gladbach","Test Results of Superconducting Cavities Produced and Prepared Completely in Industry",
MOPLT041,"M. Pekeler, S. Bauer, B. Griep, M. Knaak, H.P. Vogel, P. vom Stein, ACCEL, Bergisch Gladbach","Production of Superconducting Accelerator Modules for High Current Electron Storage Rings",
MOPLT042,"N.A. Tahir, GSI, Darmstadt; V. Fortov, IPCP, Chernogolovka, Moscow region; B. Goddard, CERN, Geneva; D.H. Hoffmann, GSI, Darmstadt; V. Kain, CERN, Geneva; I. Lomonosov, IPCP, Chernogolovka, Moscow region; R. Piriz, Universidad de Castilla-La Mancha, Ciudad Real; R. Schmidt, CERN, Geneva; A. Shutov, IPCP, Chernogolovka, Moscow region; M. Temporal, Universidad de Castilla-La Mancha, Ciudad Real","Interaction of the CERN Large Hadron Collider (LHC) Beam with Solid Metallic Targets",
MOPLT044,"E. Gianfelice-Wendt, D.P. Barber, F. Brinker, W. Decking, J. Keil, M. Vogt, F.J. Willeke, DESY, Hamburg","Longitudinal Positron Polarisation in HERA-II",
MOPLT045,"M. Seidel, M.G. Hoffmann, DESY, Hamburg","Vacuum Induced Backgrounds in the New HERA Interaction Regions",
MOPLT046,"F.J. Willeke, DESY, Hamburg","Overcoming Performance Limitations due to Synchrobetatron Resonances in the HERA Electron Ring",
MOPLT047,"Y. Senichev, S. An, K. Bongardt, R. Eichhorn, A. Lehrach, R. Maier, S. Martin, D. Prasuhn, H. Stockhorst, R. Tölle, FZJ/IKP, Jülich","Lattice Design Study for HESR",
MOPLT048,"E. Jauregi, JEMA GJ, Lasarte-Oria; F. Bordry, CERN, Geneva; J.M. Del Río, J.M. Dela Fuente, JEMA GJ, Lasarte-Oria; E.F. Figueres, E.T.S.I.I., Valencia; V. Montabonnet, CERN, Geneva; M. Tellería, J.R. Zabaleta, JEMA GJ, Lasarte-Oria","High Current Switch-mode Power Converter Prototype for LHC Project 6kA, 8V",
MOPLT049,"A. Faus-Golfe, IFIC, Valencia; I. Efthymiopoulos, P. Grafstrom, CERN, Geneva; M. Haguenauer, Ecole Polytechnique, Palaiseau; M. Rijssenbeek, CERN, Geneva","A Very High-beta Optics to be used for an Absolute Luminosity Determination with Forward Detectors in ATLAS",
MOPLT050,"A. Faus-Golfe, IFIC, Valencia; A. Verdier, CERN, Geneva","High-beta and Very High-beta Optics for LHC",
MOPLT051,"W. Kozanecki, CEA/DSM/DAPNIA, Gif-sur-Yvette; M.A. Baak, NIKHEF, Amsterdam; J. Seeman, M.K. Sullivan, U. Wienands, SLAC, Menlo Park, California","Experimental Characterization of PEP-II Luminosity and Beam-beam Performance",
MOPLT052,"J. Gao, LAL, Orsay","Emittance Growth and Beam Lifetime Limitations due to Beam-beam Effects in e+e- Storage Ring Colliders",
MOPLT053,"J. Gao, LAL, Orsay","On Parasitic Crossings and their Limitations to e+e- Storage Ring Colliders",
MOPLT054,"R. Roux, G. Bienvenu, LAL, Orsay; E. Jensen, CERN, Geneva","High Current Operation of Pre-bunching Cavities in the CTF3 Accelerator",
MOPLT055,"D. Davino, Universita' degli Studi del Sannio, Benevento; L. Campajola, Naples University Federico II, Mathematical, Physical and Natural Sciences Faculty, Napoli; M.R. Masullo, INFN-Napoli, Napoli; A. Ruggiero, BNL, Upton, Long Island, New York; V.G. Vaccaro, Naples University Federico II, Mathematical, Physical and Natural Sciences Faculty, Napoli","RF Excitation of Linear and Curved Sections of the CRFQ Project",
MOPLT056,"C. Biscari, D. Alesini, G. Benedetti, M.E. Biagini, R. Boni, M. Boscolo, A. Clozza, G.O. Delle Monache, G. Di Pirro, A. Drago, A. Gallo, A. Ghigo, S. Guiducci, M. Incurvati, INFN/LNF, Frascati (Roma); E. Levichev, BINP SB RAS, Novosibirsk; C. Ligi, F. Marcellini, G. Mazzitelli, C. Milardi, L. Pellegrino, INFN/LNF, Frascati (Roma); P.A. Piminov, BINP SB RAS, Novosibirsk; M.A. Preger, P. Raimondi, R. Ricci, C. Sanelli, M. Serio, F. Sgamma, A. Stecchi, A. Stella, C. Vaccarezza, M. Vescovi, M. Zobov, INFN/LNF, Frascati (Roma)","Feasibility Study for a Very High Luminosity Phi-factory",
MOPLT057,"A. Gallo, D. Alesini, G. Benedetti, M.E. Biagini, C. Biscari, R. Boni, M. Boscolo, A. Clozza, G.O. Delle Monache, G. Di Pirro, A. Drago, A. Ghigo, S. Guiducci, M. Incurvati, INFN/LNF, Frascati (Roma); E. Levichev, BINP SB RAS, Novosibirsk; C. Ligi, F. Marcellini, G. Mazzitelli, C. Milardi, INFN/LNF, Frascati (Roma); C. Pagani, INFN/LASA, Segrate (MI); L. Pellegrino, INFN/LNF, Frascati (Roma); P.A. Piminov, BINP SB RAS, Novosibirsk; M.A. Preger, P. Raimondi, R. Ricci, U. Rotundo, C. Sanelli, M. Serio, F. Sgamma, B. Spataro, A. Stecchi, A. Stella, F. Tazzioli, C. Vaccarezza, M. Vescovi, M. Zobov, INFN/LNF, Frascati (Roma)","Proposal of a Strong RF Focusing Experiment at DAFNE",
MOPLT058,"A. Ghigo, D. Alesini, C. Biscari, A. Clozza, INFN/LNF, Frascati (Roma); R. Corsini, CERN, Geneva; A. Drago, A. Gallo, INFN/LNF, Frascati (Roma); G. Geschonke, CERN, Geneva; F. Marcellini, C. Milardi, B. Preger, M.A. Preger, C. Sanelli, M. Serio, F. Sgamma, A. Stecchi, A. Stella, M. Zobov, INFN/LNF, Frascati (Roma)","Status of CTF3 Stretcher-compressor and Transfer Line",
MOPLT059,"F. Marcellini, D. Alesini, INFN/LNF, Frascati (Roma)","Design Options for the RF Deflector of the CTF3 Delay Loop",
MOPLT060,"S. Stark, G. Bisoffi, l. Boscagli, V. Palmieri, A.M. Porcellato, INFN/LNL, Legnaro, Padova","New RF Measuring System for Cavity Characterization",
MOPLT061,"L. Serafini, INFN-Milano, Milano; D. Alesini, INFN/LNF, Frascati (Roma); F. Alessandria, A. Bacci, INFN/LASA, Segrate (MI); S. Bertolucci, M.E. Biagini, C. Biscari, R. Boni, INFN/LNF, Frascati (Roma); R. Bonifacio, I. Boscolo, Universita' degli Studi di Milano, MILANO; M. Boscolo, INFN/LNF, Frascati (Roma); F. Broggi, INFN/LASA, Segrate (MI); M. Castellano, INFN/LNF, Frascati (Roma); S. Cialdi, INFN-Milano, Milano; A. Clozza, INFN/LNF, Frascati (Roma); C. De Martinis, INFN/LASA, Segrate (MI); G. Di Pirro, A. Drago, A. Esposito, M. Ferrario, V. Fusco, A. Gallo, A. Ghigo, INFN/LNF, Frascati (Roma); D. Giove, INFN/LASA, Segrate (MI); S. Guiducci, M. Incurvati, C. Ligi, F. Marcellini, INFN/LNF, Frascati (Roma); C. Maroli, Universita' degli Studi di Milano, MILANO; M. Mauri, INFN/LASA, Segrate (MI); M. Migliorati, C. Milardi, INFN/LNF, Frascati (Roma); A. Mostacci, Rome University La Sapienza, Roma; L. Palumbo, L. Pellegrino, INFN/LNF, Frascati (Roma); V. Petrillo, N. Piovella, Universita' degli Studi di Milano, MILANO; R. Pozzoli, INFN-Milano, Milano; M.A. Preger, P. Raimondi, R. Ricci, INFN/LNF, Frascati (Roma); M. Romé, INFN-Milano, Milano; C. Sanelli, M. Serio, F. Sgamma, B. Spataro, A. Stecchi, A. Stella, F. Tazzioli, C. Vaccarezza, M. Vescovi, C. Vicario, M. Zobov, INFN/LNF, Frascati (Roma)","Design Study for Advanced Acceleration Experiments and Monochromatic X-ray Production @ SPARC",
MOPLT062,"D. Giove, INFN/LASA, Segrate (MI); D. Alesini, INFN/LNF, Frascati (Roma); F. Alessandria, A. Bacci, C. De Martinis, INFN/LASA, Segrate (MI); M. Ferrario, A. Gallo, F. Marcellini, INFN/LNF, Frascati (Roma); M. Mauri, INFN/LASA, Segrate (MI); L. Serafini, INFN-Milano, Milano","The Design of a Prototype RF Compressor for High Brightness Electron Beams",
MOPLT063,"D. Giove, C. De Martinis, M. Mauri, INFN/LASA, Segrate (MI)","Reconfigurable Hardware Resources in Accelerator Control Systems",
MOPLT066,"K. Torikai, Y.A. Arakida, KEK, Ibaraki; J. Kishiro, JAERI/LINAC, Ibaraki-ken; T. Kono, K. Koseki, E. Nakamura, Y. Shimosaki, K. Takayama, T. Toyama, M. Wake, KEK, Ibaraki","Induction Accelerating Cavity for a Circular Ring Accelerator",
MOPLT067,"Y. Funakoshi, K. Akai, K. Ebihara, K. Egawa, A. Enomoto, J. Flanagan, H. Fukuma, K. Furukawa, T. Furuya, J. Haba, S. Hiramatsu, T. Ieiri, N. Iida, H. Ikeda, T. Kageyama, S. Kamada, T. Kamitani, S. Kato, M. Kikuchi, E. Kikutani, H. Koiso, M. Masuzawa, T. Mimashi, A. Morita, T. Nakamura, H. Nakayama, Y. Ogawa, K. Ohmi, Y. Ohnishi, N. Ohuchi, K. Oide, M. Shimada, S. Stanic, M. Suetake, Y. Suetsugu, T. Sugimura, T. Suwada, M. Tawada, M. Tejima, M. Tobiyama, S. Uehara, S. Uno, S.S. Win, N. Yamamoto, Y. Yamamoto, Y. Yano, K. Yokoyama, M. Yoshida, M. Yoshida, S.I. Yoshimoto, KEK, Ibaraki; F. Zimmermann, CERN, Geneva","KEKB Performance",
MOPLT069,"A. Ueda, K. Harada, Y. Kobayashi, T. Mitsuhashi, KEK, Ibaraki","Investigation of Injection for the Low-emittance Lattice with New-6.25 ohm Kicker Magnet System at the Photon Factory",
MOPLT070,"A. Sato, M. Aoki, Y. Arimoto, Osaka University, Osaka; Y. Iwashita, Kyoto ICR, Uji, Kyoto; Y. Kuno, Osaka University, Osaka; S. Machida, Y. Mori, KEK, Ibaraki; S. Ninomiya, RCNP, Osaka; C. Ohmori, T. Yokoi, KEK, Ibaraki; M. Yoshida, Osaka University, Osaka; K. Yoshimura, KEK, Ibaraki","FFAG as Phase Rotator for the PRISM Project",
MOPLT071,"J.C. Yoon, J. Choi, K.M. Ha, J.H. Kim, J.M. Kim, J.-W. Lee, PAL, Pohang","EPICS Based Control System for the KOMAC RF System",
MOPLT072,"J.B. Kim, I.S. Ko, POSTECH, Pohang, Kyungbuk; H. Suk, KERI, Changwon","Effects of Positrons on Relativistic Solitons in Laser-Plasma Interactions",
MOPLT073,"J. Hendriks, G.J.H. Brussaard, TUE, Eindhoven","Picosecond High Voltage Switching for Pulsed DC Acceleration",
MOPLT075,"O.J. Luiten, TUE, Eindhoven; F. Kiewiet, FOM Rijnhuizen, Nieuwegein; M.J. Van der Wiel, TUE, Eindhoven; M.J. de Loos, PP, Soest; S.B. van der Geer, TUE, Eindhoven","Ideal Waterbag Electron Bunches from an RF Photogun",
MOPLT078,"C.H. Yu, G. Xu, IHEP Beijing, Beijing","The Coupling Compensation and Measurement in the Interaction Region of BEPCII",
MOPLT081,"E.S. Masunov, S.M. Polozov, MEPhI, Moscow","Low Energy Ion Beam Dynamics in Axisymmetric RF Undulator Linac",
MOPLT086,"I.V. Krylov, V. Korchuganov, L.A. Moseiko, N.I. Moseiko, V.A. Novikov, A.G. Valentinov, Y.L. Yupinov, RRC Kurchatov Institute, Moscow","Upgrading the Control System at KCSR",
MOPLT087,"A.V. Bogomyagkov, V. Kiselev, E.V. Kremyanskaya, E. Levichev, S.A. Nikitin, I.B. Nikolaev, E.A. Simonov, A.N. Skrinsky, BINP SB RAS, Novosibirsk","Research of Possibility to use Beam Polarization for Absolute Energy Calibration in High-precision Measurement of Tau Lepton Mass at VEPP-4M",
MOPLT088,"A.V. Petrenko, A. Burdakov, A.M. Kudryavtsev, P.V. Logatchev, K.V. Lotov, A.N. Skrinsky, BINP SB RAS, Novosibirsk","Experimental Plasma Wake-field Acceleration Project at the VEPP-5 Injection Complex",
MOPLT089,"F.V. Podgorny, B.I. Grishanov, A.S. Kasaev, BINP SB RAS, Novosibirsk","SOS-diode Based Pulser for the Injection System of the Collider VEPP-2000",
MOPLT090,"F.V. Podgorny, B.I. Grishanov, BINP SB RAS, Novosibirsk","High Pulse and Average Power Low-induction Load",
MOPLT091,"V.V. Smaluk, BINP SB RAS, Novosibirsk","Accelerator Physics Issues of the VEPP-4M at Low Energy",
MOPLT092,"V. Volkov, A. Bushuev, E. Kenjebulatov, I. Koop, A. Kosarev, Ya.G. Kruchkov, S.A. Krutikhin, I. Kuptcov, I. Makarov, N. Mityanina, V. Petrov, E. Rotov, I. Sedlyarov, Y.M. Shatunov, BINP SB RAS, Novosibirsk","Single Mode RF Cavity for VEPP-2000 Storage Ring Based Collider",
MOPLT096,"V. Talanov, I. Azhgirey, I. Baishev, IHEP Protvino, Protvino, Moscow Region; K.M. Potter, CERN, Geneva","Machine Induced Background in the High Luminosity Experimental Insertion of the LHC Project",
MOPLT097,"K. Zagar, JSI, Ljubljana; M. Plesko, Cosylab, Ljubljana; R. Sabjan, I. Verstovsek, JSI, Ljubljana","Co-sourcing Development of Accelerator Controls",
MOPLT099,"I.S. Guk, NSC/KIPT, Kharkov; J.I.M. Botman, TUE, Eindhoven; A. Dovbnya, S.G. Kononenko, A.S. Tarasenko, NSC/KIPT, Kharkov; M.J. Van der Wiel, TUE, Eindhoven","NSC KIPT Accelerator on Nuclear and high Energy Physics",
MOPLT100,"I.S. Guk, NSC/KIPT, Kharkov; J.I.M. Botman, TUE, Eindhoven; A. Dovbnya, S.G. Kononenko, F.A. Peev, A.S. Tarasenko, NSC/KIPT, Kharkov; M.J. Van der Wiel, TUE, Eindhoven","Magnetic Structure of the NSC KIPT Nuclear-and-high-energy-physics Electron Accelerator",
MOPLT101,"I.V. Khodak, I.V. Khodak, V.A. Kushnir, NSC/KIPT, Kharkov","Performances of the Beam Generated by Metal-Dielectric Cathodes in RF Electron Guns",
MOPLT102,"I.N. Onishchenko, V. Kiselev, A. Linnik, N. Onishchenko, G. Sotnikov, NSC/KIPT, Kharkov; V. Ushkov, RRC Kurchatov Institute, Moscow","To the Problem of Wake-field Excitation for Advanced Accelerator Concept",
MOPLT103,"I. Bolshakova, R. Holyaka, LPNU, Lviv; S. Kulikov, JINR, Dubna, Moscow Region; M. Kumada, NIRS, Chiba-shi; C. Leroy, Université de Montréal, Groupe de la Physique des Particules, Montréal, Québec","Radiation Resistant Magnetic Sensors for Accelerators",
MOPLT104,"S.J. Brooks, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Quantitative Optimisation Studies of the Muon Front-End for a Neutrino Factory",
MOPLT105,"P. Drumm, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","Implementation of MICE at RAL",
MOPLT106,"M. Ellis, Imperial College of Science and Technology, Department of Physics, London","MICE: the Muon Ionisation Cooling Experiment",
MOPLT107,"P. Burrows, Queen Mary University of London, London; C. Adolphsen, SLAC, Menlo Park, California; R. Barlow, M. Dufau, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; J.C. Frisch, SLAC, Menlo Park, California; T. Hartin, Queen Mary University of London, London; L. Hendrickson, SLAC, Menlo Park, California; S.M. Hussain, Queen Mary University of London, London; R.K. Jobe, SLAC, Menlo Park, California; A. Kalinin, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire; T. Markiewicz, D.J. McCormick, SLAC, Menlo Park, California; S. Molloy, Queen Mary University of London, London; G. Myatt, OXFORDphysics, Oxford, Oxon; J. Nelson, SLAC, Menlo Park, California; C. Perry, OXFORDphysics, Oxford, Oxon; M.C. Ross, S. Smith, T.J. Smith, SLAC, Menlo Park, California; G.R. White, Queen Mary University of London, London","Nanosecond-timescale Intra-bunch-train Feedback for the Linear Collider: Results of the FONT2 Run",
MOPLT108,"G.R. White, Queen Mary University of London, London; D. Schulte, CERN, Geneva; N.J. Walker, DESY, Hamburg","TESLA Linac-IP Simulations",
MOPLT109,"V. Balbekov, S. Nagaitsev, Fermilab, Batavia, Illinois","Longitudinal Schottky Spectra of Bunched Beams",
MOPLT110,"D.R. Broemmelsiek, M. Hu, S. Nagaitsev, Fermilab, Batavia, Illinois","Stochastic Cooling in Barrier Buckets at the Fermilab Recycler",
MOPLT111,"M. Huening, Fermilab, Batavia, Illinois","On using NEA Cathodes in an RF Gun",
MOPLT112,"C. Johnstone, Fermilab, Batavia, Illinois; S.R. Koscielniak, TRIUMF, Vancouver","Optimizing Non-Scaling FFAG Lattices for Rapid Acceleration",
MOPLT114,"A. Drozhdin, N. Mokhov, Fermilab, Batavia, Illinois","Modeling of Beam Loss in Tevatron and Backgrounds in the BTeV Detector",
MOPLT115,"A. Drozhdin, N. Mokhov, Fermilab, Batavia, Illinois; V. Samulyak, BNL, Upton, Long Island, New York; D. Still, Fermilab, Batavia, Illinois","Numerical Simulations and Analyses of Beam-Induced Damage to the Tevatron Collimators",
MOPLT117,"P. Piot, G.W. Foster, Fermilab, Batavia, Illinois","An Electron Front End for the Fermilab Multi-species 8 GeV SCRF Linac",
MOPLT118,"M. Popovic, Fermilab, Batavia, Illinois","Muon Test Area at Fermilab",
MOPLT119,"T.T. Arkan, C. Boffo, E. Borissov, H. Carter, D. Finley, I. Gonin, T. Khabibouline, S.C. Mishra, G. Romanov, N. Solyak, Fermilab, Batavia, Illinois","Fabrication of X-band Accelerating Structures at FERMILAB",
MOPLT120,"P. Bauer, G. Ambrosio, J. Annala, J. DiMarco, R. Hanft, M. Lamm, M. Martens, P. Schlabach, D. Still, M. Tartaglia, J. Tompkins, G. Velev, Fermilab, Batavia, Illinois","Proposals for Improvements of the Correction of Sextupole Dynamic Effects in the Tevatron Dipole Magnets",
